# x_norm y_norm Actual_u
4.486731e-01 8.437664e-01 4.660900e-01
4.415053e-01 8.469576e-01 4.555520e-01
4.343375e-01 8.501489e-01 4.448100e-01
4.271697e-01 8.533411e-01 4.338820e-01
4.200020e-01 8.565323e-01 4.227810e-01
4.128342e-01 8.597236e-01 4.115260e-01
4.056664e-01 8.629148e-01 4.001300e-01
3.984986e-01 8.661060e-01 3.886120e-01
3.913308e-01 8.692973e-01 3.769870e-01
3.841631e-01 8.724885e-01 3.652720e-01
3.769953e-01 8.756798e-01 3.534830e-01
3.698265e-01 8.788710e-01 3.416370e-01
3.626587e-01 8.820622e-01 3.297500e-01
3.554909e-01 8.852535e-01 3.178390e-01
3.483231e-01 8.884457e-01 3.059200e-01
3.411554e-01 8.916370e-01 2.940100e-01
3.339876e-01 8.948282e-01 2.821250e-01
3.268198e-01 8.980194e-01 2.702810e-01
3.196520e-01 9.012107e-01 2.584950e-01
3.124842e-01 9.044019e-01 2.467830e-01
3.053165e-01 9.075931e-01 2.351600e-01
2.981487e-01 9.107844e-01 2.236430e-01
2.909809e-01 9.139756e-01 2.122470e-01
2.838131e-01 9.171669e-01 2.009870e-01
2.766453e-01 9.203581e-01 1.898800e-01
2.694776e-01 9.235503e-01 1.789390e-01
2.623098e-01 9.267416e-01 1.681800e-01
2.551410e-01 9.299328e-01 1.576170e-01
2.479732e-01 9.331241e-01 1.472650e-01
2.408054e-01 9.363153e-01 1.371380e-01
2.336377e-01 9.395065e-01 1.272490e-01
2.264699e-01 9.426978e-01 1.176110e-01
2.193021e-01 9.458890e-01 1.082380e-01
2.121343e-01 9.490802e-01 9.914300e-02
2.049665e-01 9.522715e-01 9.033800e-02
1.977987e-01 9.554637e-01 8.183400e-02
1.906310e-01 9.586550e-01 7.364400e-02
1.834632e-01 9.618462e-01 6.577900e-02
1.762954e-01 9.650374e-01 5.825000e-02
1.691276e-01 9.682287e-01 5.106600e-02
1.619598e-01 9.714199e-01 4.423900e-02
1.547921e-01 9.746111e-01 3.777700e-02
1.476243e-01 9.778024e-01 3.169000e-02
1.404555e-01 9.809936e-01 2.598600e-02
1.332877e-01 9.841849e-01 2.067300e-02
1.261199e-01 9.873761e-01 1.576000e-02
1.189522e-01 9.905683e-01 1.125200e-02
1.117844e-01 9.937596e-01 7.158000e-03
6.820206e-01 7.312847e-01 6.293590e-01
6.748528e-01 7.344760e-01 6.325920e-01
6.676851e-01 7.376672e-01 6.352830e-01
6.605173e-01 7.408595e-01 6.374340e-01
6.533495e-01 7.440507e-01 6.390500e-01
6.461817e-01 7.472419e-01 6.401320e-01
6.390139e-01 7.504332e-01 6.406860e-01
6.318462e-01 7.536244e-01 6.407170e-01
6.246784e-01 7.568156e-01 6.402290e-01
6.175106e-01 7.600069e-01 6.392280e-01
6.103418e-01 7.631981e-01 6.377210e-01
6.031740e-01 7.663894e-01 6.357140e-01
5.960063e-01 7.695806e-01 6.332150e-01
5.888385e-01 7.727718e-01 6.302320e-01
5.816707e-01 7.759641e-01 6.267720e-01
5.745029e-01 7.791553e-01 6.228450e-01
5.673351e-01 7.823466e-01 6.184600e-01
5.601673e-01 7.855378e-01 6.136250e-01
5.529996e-01 7.887290e-01 6.083530e-01
5.458318e-01 7.919203e-01 6.026520e-01
5.386640e-01 7.951115e-01 5.965350e-01
5.314962e-01 7.983027e-01 5.900120e-01
5.243284e-01 8.014940e-01 5.830950e-01
5.171607e-01 8.046852e-01 5.757970e-01
5.099929e-01 8.078765e-01 5.681290e-01
